The Outliers	The Furies	Clement St. Massive	Ken Phelps All Stars	Mendoza Line	The Amazin Ukranian	Mike Kingery	Bullfrongs	Big Inning CornKings	Peaches	Hoopleheads	Necessarily Possible	The Bad Hombres	Quantum Fastball	Zach Miner Threat	SNK Crushers	Maya's Mysteries	Dostoevskian Idiots
Adrian Gonzalez	Carlos Gonzalez	Adrián Béltre	Adam Wainwright	Zach Miner Threat: Jon Lester	Matt Kemp	Jeff Samardzija	Cole Hamels	Johnny Cueto	Carlos Santana	Yoenis Cespedes	Julio Teherán	Edwin Encarnación	Matt Carpenter	Justin Verlander	David Price	Robinson Cano	Max Scherzer
Andrew McCutcheon	Big Inning CornKIngs: Jonathan Lucroy	Ryan Braun	Rick Porcello	Daniel Murphy	Nelson Cruz	Paul Goldschmidt	Matt Holliday	Giancarlo Stanton	Zack Greinke	Dustin Pedroia	Ian Kinsler	Clayton Kershaw	Chris Archer	Jose Abreu	Joey Votto	Felix Hernandez	Miguel Cabrera
Jason Heyward	Dexter Fowler	Michael Brantley	Maya's Mysteries: Stephen Strasburg	Maya's Mysteries: Starling Marte	Troy Tulowitzki	Hanley Ramirez	Kenta Maeda	Maya's Mysteries: Charlie Blackmon	Geo Gonzalez	Michael Wacha	Chris Sale	Josh Donaldson	Madison Bumgarner	Anthony Rizzo	Ian Desmond	Buster Posey	Jose Bautista
Evan Gattis	Adam Jones	Eric Hosmer	Kyle Hendricks	Yasiel Puig	Christian Yelich	Francisco Liriano	Mark Trumbo	Evan Longoria	Jay Bruce	Wei-Yin Chen	Justin Upton	Aroldis Chapman	Adam Duvall	Garrett Richards	Ben Zobrist	Jake Arrieta	Carlos Carrasco
Matt Shoemaker	Drew Smyly	Brett Lawrie	Neil Walker	Carlos Gomez	Michael Pineda	Mike Moustakas	Victor Martinez	Freddie Freeman	Chris Davis	Kendrys Morales	Ervin Santana	Mitch Haniger	Adam Eaton	Kenley Jansen	Brandon Belt	Jose Altuve	Jason Kipnis
Hunter Pence	Albert Pujoles	Josh Reddick	Chris Carter	Eduardo Nunez	Todd Frazier	Carlos Beltrán	Kyle Seager	Eric Thames	Marco Estrada	Ryan Schimpf	Yangervis Solarte	Alex Cobb	Brad Miller	Tanner Roark	Marcell Ozuna	Yulieski Gurriel	Zach Davies
Yadier Molina	Craig Kimbrel	Ian Kennedy	Mike Leake	Tyler Skaggs	Wilson Ramos	Russell Martin	Matt Moore	Wil Myers	Jeremy Hellickson	Raisel Iglesias	Shin-Soo Choo	Ryan Buchter	Jed Gyorko	Maya's Mysteries: Jason Hammel	Lance Lynn	John Lackey	Yoan Moncada
Scott Kazmir	Matt Harvey	Chris Iannetta	Curtis Granderson	Hoopleheads: Gary Sanchez	Billy Hamilton	Corey Dickerson	Melky Cabrera	Manny Machado	Yasmani Grandal	Mendoza Line: Jesse Winker	Drew Pomeranz	Wilmer Flores	Yu Darvish	Bryce Harper	Alex Wood	Ken Phelps All Stars: Hishashi Iwakuma	Mike Trout
Edison Volquez	Mike Napoli	Alex Gordon	Kevin Kiermayer	Tyson Ross	Jose Reyes	Kendall Graveman	Denard Span	Chad Kuhl	Jhoulys Chacin	Jordan Zimmerman	Tyler Chatwood	Jaime García	Joc Pedersen	Jean Segura	Anthony Rendon	Mendoza Line: Koda Glover	Scott Schebler
Dostoeveskian Idiots: Patrick Corbin	James McCann	Chad Bettis	Bartolo Colon	Jharel Cotton	Jonathan Schoop	Jorge Polanco	Ricky Nolasco	Collin McHugh	Jung-ho Kang	Kole Calhoun	Odubel Herrera	Kyle Barraclough	Alex Dickerson	Rougned Odor	Danny Duffy	Justin Turner	Dylan Bundy
Jayson Werth	Jose Quintana	Travis Shaw	Brian McCann	Domingo Santana	Devin Mesoraco	Cody Allen	Didi Gregorius	Danny Salazar	Brian Dozier	Zack Wheeler	Cody Asche	James Paxton	Nolan Arenado	Kevin Gausman	Sonny Gray	Clay Buchholtz	Stephen Vogt
Jurickson Profar	Kennys Vargas	Mark Melancon	Pablo Sandoval	Zach Minor Threat: A.J. Pollock	Carlos Martínez	Shelby Miller	R.A. Dickey	Anthony DeSclafani	Khris Davis	Lorenzo Cain	Salvadore Perez	David Peralta	Josh Harrison	Tyler Thornburg	Corey Kluber	Gerrit Cole	Andrew Benintendi
Liam Hendricks	Johnathan Villar	Kevin Pillar	Aledmys Diaz	Keon Broxton	Justin Bour	Sergio Romo	Jesse Chavez	Wade Davis	Josh Tomlin	Nick Franklin	John Jaso	Brandon Drury	Michael Saunders	Nomar Mazara	Zach Miner Threat: Frankie Montas	Lucas Duda	Kelvin Herrera
Trevor Plouffe	Dee Gordon	Álex Colomé	Steve Pearce	Archie Bradley	Shawn Kelley	Starlin Castro	Koji Uehara	Ty Blach	Dallas Keuchel	Carter Capps	Brandon Maurer	George Springer	Andrew Miller	Eduardo Rodriguez	Dellin Betances	Kenneth Giles	Marcus Semien
Tyler Duffy	Jimmy Nelson	Taijuan Walker	Tom Koehler	Robbie Ray	Brandon Moss	Devon Travis	Chris Owings	J.T. Realmuto	Randal Grichuk	Jacob deGrom	Brock Holt	Adam Conley	Travis d'Arnaud	SNK Crushers: J.D. Martinez	Gregory Polanco	Llourdes Gurriel	Masahiro Tanaka
Xander Bogaerts	Arodys Vizcaino	José Ramírez	Brett Cecil	Trevor Bauer	Rich Hill	Chris Tillman	Eddie Rosario	Cesar Hernandez	Cameron Maybin	Mookie Betts	Jake Odorizzi	Jackie Bradley Jr.	Michael Fulmer	Nick Castellanos	Marcus Stroman	Brandon Finnegan	Javier Baez
David Robertson	Travis Jankowski	C.J. Cron	Willy Adames	Wilson Contreras	Elvis Andrus	Avisail Garcia	Joe Blanton	Logan Forsythe	Joe Mauer	Tyler Saladino	Brad Brach	Jerad Eickhoff	Joe Musgrove	Mychal Givens	Yasmani Tomas	Zach Miner Threat: Daniel Norris	The Outliers: Brett Gardiner
Francisco Cervelli	Matt Duffy	Leonys Martin	Yunel Escobar	Tyler Beede	Henry Owens	J.A. Happ	DJ LeMahieu	Tyler Naquin	Trevor May	Brandon Crawford	Alex Wilson	Mike Foltynewicz	Colby Rasmus	Joe Ross	Joe Panik	Jacoby Ellsbury	Zach Britton
Martin Prado	Francisco Mejia	Kolten Wong	Ender Inciarte	Jose Peraza	Lance McCullers	Austin Hedges	Andrew Heaney	Stephen Piscotty	Kevin Siegrist	Luis Severino	Michael Conforto	Jake Lamb	Aaron Sanchez	Addison Russell	Max Kepler	Kris Bryant	Greg Bird
Seth Smith	Alex Verdugo	Omar Narvaez	Dilson Herrera	Lucas Erceg	Jorge Soler	Roberto Osuna	Kyle Schwarber	Byron Buxton	Eugenio Suárez	Joey Gallo	Noah Syndergaard	Francisco Lindor	Aaron Nola	Miguel Sano	Carlos Rodon	Carlos Correa	Maikel Franco
Chase Headley	Brock Stewart	Chad Green	Steve Cishek	Edwin Diaz	Zack Cozart	Luke Gregerson	Felipe Rivero	Grant Dayton	Melvin Upton Jr.	Dan Straily	Derek Dietrich	Carl Edwards Jr.	Scott Feldman	Matt Boyd	Brett Anderson	Ryan Dull	Andrew Triggs
Ryan Zimmerman	Jhonny Peralta	Steven Wright	Santiago Casilla	Chris Devenski	Seung Hwan Oh	Danny Valencia	David Phelps	Andrew Toles	Mitch Moreland	Ivan Nova	Pedro Alvarez	Tommy Joseph	Phil Hughes	Bruce Rondon	Asdrubal Cabrera	Will Harris	Michael Clevinger
Steven Souza	Kim Hyun-soo	Júnior Guerra	Nate Jones	Vincent Velasquez	Matt Andriese	Jarrod Dyson	Trevor Cahill	Tom Murphy	Michael Lorenzen	Addison Reed	Jake Peavy	Tyler Anderson	Jarret Parker	Eddie Butler	Aaron Judge	Brandon McCarthy	Jake Thompson
Aaron Blair	Sam Dyson	Tim Anderson	Jason Grilli	Blake Snell	Ariel Miranda	Cam Bedrosian	Brad Hand	Matt Strahm	Hansel Robles	Hector Neris	Jordy Mercer	Orlando Arcia	JT Chargois	Mike Zunino	David Paulino	Michael Feliz	Ryon Healy
Julio Urias	Jon Gray	Robert Gsellman	Trayce Thompson	Trea Turner	Cody Reed	Trevor Story	Mike Montgomery	Jose Berrios	Corey Seager	Mauricio Cabrera	Kurt Suzuki	Steven Matz	Alex Bregman	Zack Collins	Jameson Taillon	Nate Karns	Sean Manaea